Nama_umkm,Sektor_usaha,Sektor_umkm,Kabupaten,Kecamatan,Desa,Jenis_usaha,Omset,Aset
H. Nurdin AR,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,540000,810000
Sofyan Sinan,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,600000,900000
Lukman,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,680000,1020000
M. Isa Ajie,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,578000,867000
Tjau Lie Min,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,800000,1200000
H. Adnan Yakob,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,700000,1050000
Lauw The Tjung,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,850000,1275000
Alfin,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,560000,840000
H. M. Daud,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,800000,1200000
Jamaluddin,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,600000,900000
Zainal Husen,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,800000,1200000
Zainal Husen,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,850000,1275000
Ajema Fajri,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,570000,855000
Umar Abdullah,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,580000,870000
Raja Hasanuddin,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,580000,870000
Drs. Syarifuddin,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,580000,870000
Hj. Suriani Umar,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,580000,870000
Ir. Basri,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,580000,870000
Dismaji,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,580000,870000
Heri/ Mahfud,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Pasar Aceh,Jualan Emas,580000,870000
Armaya (UD. Batu Alam Armaya),Perdagangan,Menengah,Banda Aceh,Baiturrahman,Jl.Belibis No.22 Labui,Batu Alam,180000,600000
Aura Keramik/Indriana,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Jl. T.Chik Ditiro Sp. Surabaya,Jualan Keramik,500000,1800000
Al- Fadil,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Tgk. Sulaiman Daud Gp. Peuniti,Mini Market,500000,1100000
SK Colection,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Hasan Saleh I-C Gp. Neusu Aceh,Pakaian Jadi Wanita,500000,172000
Audio Technics,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Kh. A. Dahlan No. 72 Gp. Baru,Barang - Barang Electronik,550000,7200000
Cv. Adil Jaya,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Kh. A. Dahlan No. 54 Gp. Baru,Spare part Alat Berat,700000,360000
Fuji Electrik,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Kh. A. Dahlan No. 34 Gp. Baru,Barang Elektronik,550000,850000
Rajawali Elektronik,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Kh.A.Dahlan No. 36  Gp. Baru,Barang Elektronik,500000,1080000
Sukses Abadi,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Hasan Saleh Gp. Neusu Aceh,Barang Pecah Belah,750000,1080000
Galaxy Computer,Perdagangan,Menengah,Banda Aceh,Baiturrahman,T.Hasan saleh No. 11 Gp. Neusu Aceh,Computer dan assesories,500000,1800000
Toko Indah Jaya,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Tgk. Chik ditiro No. 169 Gp. Ateuk Pahlawan,Bahan - Bahan Bangunan,600000,800000
Dunia Bangunan,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Chik Ditiro No. 165 Gp. Ateuk Pahlawan,Bahan - Bahan Bangunan,600000,1000000
Toko Melenium Jaya Keramik,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Mohd. Jam Gp. Baru,Keramik,500000,900000
Bangunan Baru,Perdagangan,Menengah,Banda Aceh,Baiturrahman,T. Cut Ali No. 50 Gp. Baru,Bahan - Bahan Bangunan,550000,1000000
Serba Bangunan,Perdagangan,Menengah,Banda Aceh,Baiturrahman,Mohd. Jam No. 45 Gp. Baru,Bahan - Bahan Bangunan,500000,850000
Sejahtera Baru,Perdagangan,Menengah,Banda Aceh,Banda Raya,Jln. Soekarno-Hatta,Grosir Sembako,800000,108000
UD.Kelontong Rose/ Rosdiati,Perdagangan,Menengah,Banda Aceh,Banda Raya,Jl. Masjid Shadada Lamlagang,Kelontong,550000,900000
Herman,Perdagangan,Menengah,Banda Aceh,Kuta Alam,Jl. Syeh m. Amin No. 39,Grosir Sembako,400000,100000
Plaza IT,Perdagangan,Menengah,Banda Aceh,Kuta Alam,Pocut Baren No.14 Gp. Keuramat,Computer dan assesories,500000,500000
Simbadda Com,Perdagangan,Menengah,Banda Aceh,Kuta Alam,Pocut Baren No.33 C- D Gp. Keuramat,Penjualan Komputer dan Assesories,500000,800000
Jeumpa Sakti / Drs. Ridwan Amin,Perdagangan,Menengah,Banda Aceh,Kuta Alam,Tgk. Teungoh Gp. Lampulo,Kelontong,500000,900000
Tabina 2 / T. Andiani,Perdagangan,Menengah,Banda Aceh,Kuta Alam,T. Diblang No. 92 Gp. Lampulo,Sembako,500000,1200000
Adek Abang,Perdagangan,Menengah,Banda Aceh,Kuta Alam,Jl. Pocut Baren No. 32,Toko Bangunan,800000,12000000
Swalayan,Perdagangan,Menengah,Banda Aceh,Kuta Alam,Jl.Pucot Baren No.108 Gp.Keuramat,Foktasua / Kelontong,1418180,1500000
Konveksi Syafaat,Perdagangan,Menengah,Banda Aceh,Kuta Raja,Rama Setia Gp. Lampaseh Kota,Konveksi,850000,1000000
Triset,Perdagangan,Menengah,Banda Aceh,Kuta Raja,KH.A.Dahlan Gp. Merduati,Menjual Sepatu / Sandal,300000,720000
Toko Sejuta Karpet,Perdagangan,Menengah,Banda Aceh,Kuta Raja,KH.A.Dahlan Gp. Merduati,Menjual Karpet & Ambal,600000,720000
Murah Raya Perabot,Perdagangan,Menengah,Banda Aceh,Kuta Raja,W.R.Supratman Gp. Keudah,Perabot,500000,750000
Toko Serikat,Perdagangan,Menengah,Banda Aceh,Kuta Raja,KH.A.Dahlan Gp. Merduati,Menjual Sepeda,500000,18000
Muraya Baru,Perdagangan,Menengah,Banda Aceh,Kuta Raja,T.Pelajar Gp. Merduati,Perabot,500000,750000
Toko Mahli Baru,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Jln. Mr. M. Hasan,Mini Market,500000,205000
Intan Berlian,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Tgk.Chiek Ditiro Gp. Suka Damai,Bahan Job Mobil & Sofa Rumah Tangga,1000000,18
Pusat Accesoris Hp ( Nangro ),Perdagangan,Menengah,Banda Aceh,Lueng Bata,Tgk.Chiek Ditiro Gp. Suka Damai,Accesoris Hp,1000000,1800000
Cangkir Kopi,Perdagangan,Menengah,Banda Aceh,Lueng Bata,T.Imum Lueng Bata Gp. Blang Cut,Warung Kopi,12,180000
Keumala Kupi,Perdagangan,Menengah,Banda Aceh,Lueng Bata,T.Imum Lueng Bata Gp. Blang Cut,Warung Kopi,800000,250000
Forty Bautique,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Batoh,Butik,700000,550000
Buccerry Fantasi,Perdagangan,Menengah,Banda Aceh,Lueng Bata,T.Imum Lueng Bata Gp. Suka Damai,Accesoris.Aneka Boneka & Sovenir,500000,600000
Mix 3 Coffe,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Blang Cut,Warung Kopi,25,700000
TB.Hidup Abadi,Perdagangan,Menengah,Banda Aceh,Lueng Bata,T.Imum Lueng Bata Gp. Blang Cut,Material / Bahan Bangunan,500000,650000
Mitra Kana,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Batoh,Material Bangunan,12,35
Syla Raseuki,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Tgk.Chiek Ditiro  Gp. Suka Damai,Grosir Kelontong,500000,1200000
Mandiri Ban,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Tgk.Chiek Ditiro  Gp. Suka Damai,Pelak & Ban Mobil,570000,90000
Cimita Ban,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Tgk.Chiek Ditiro  Gp. Suka Damai,Pelak & Ban Mobil,1000000,500000
Bina Sejahtera 'Swalayan',Perdagangan,Menengah,Banda Aceh,Lueng Bata,AMD No.19 / 20 Gp. Batoh,Swalayan,500000,650000
Bathoh Elektronik,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Batoh,Elektronik,15,15
8 Eleyan Computer,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Suka Damai,Penjualan Komputer,500000,650000
Kembang Saji,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Batoh,Kelontong,800000,100000
AJB Carwash,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Blang Cut,Doorsmeer,500000,650000
PT.Luxindo Raya,Perdagangan,Menengah,Banda Aceh,Lueng Bata,T.Hasan Dek Gp. Lamseupung,Distributor Alat - Alat Rumah Tangga,1000000,25000
Global Keramik,Perdagangan,Menengah,Banda Aceh,Lueng Bata,T.Hasan Dek Sp. Surabaya,Jualan Keramik,900000,13000
Singapure,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Suka Damai,Pecah Belah / Textil,500000,200000
Alifia,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Batoh,Kelontong,18,360000
Start Sport 2,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Suka Damai,Alat - Alat Olah Raga,800000,850000
Mahli Baru,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Batoh,Kelontong,16000,15000
Baru Jadi,Perdagangan,Menengah,Banda Aceh,Lueng Bata,T.Hasan Dek Gp. Lamseupung,Kelontong / Grosir,500000,35000
Utama Sport,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Tgk.Chiek Ditiro  Sp. Surabaya,Sport / perlengkapan Alat - Alat Olah raga,900000,15000
Surya Abadi,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Batoh,Bahan Bangunan,500000,580000
Berkat,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Batoh,Material Bangunan,500000,650000
Gelora,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Batoh,Kelontong,800000,18000
Banda Jaya Mobil,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Suka Damai,Showroom Mobil,1500000,800000
Fiz Seluler,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Suka Damai,Jual Hp & Accesoris,12000,200000
Graha Ban,Perdagangan,Menengah,Banda Aceh,Lueng Bata,Mr.Dr.Mohd.Hasan Gp. Blang Cut,Penjualan Velg Recing.Ban .Nitoogen,500000,900000
Nuansa Jaya Sport,Perdagangan,Menengah,Banda Aceh,Lueng Bata,AMD No.68 Gp. Lamdom,Jasa Kontruksu & Jualan Pakaian Sport,880000,50000
