;Nama_umkm;Sektor_usaha;Sektor_umkm;Kabupaten;Kecamatan;Desa;Jenis_usaha;Omset;Aset;Cluster
0;Umah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tandi Ateuk Meunjeng;Kelontong;30000;45000;0
1;Syarifuddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Amalia Peuniti;Kelontong;30000;72000;2
2;Muhammad;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. T. Sulaiman Daud;Kelontong;40000;40000;0
3;M. Jamil;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. T. Sulaiman Daud;Kelontong;35000;73000;2
4;Munawir;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Kelontong;20000;60000;0
5;Herman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Kelontong;30000;60000;0
6;Ismail Sulaiman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Kelontong;25000;75000;2
7;Saifullah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Pakaian Jadi;30000;60000;0
8;Cut Nur Hasbi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Warkop;10000;15000;0
9;Arjuna;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Jualan Kain;10000;26000;0
10;Nurdiansyah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Jualan Kain;12000;24000;0
11;Darmanita;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Warkop;15000;28000;0
12;Suriadi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Hasan Saleh;Kelontong;13000;26000;0
13;Abdullah M. Yusuf;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Hasan Saleh;Sembako;17000;75000;2
14;Zulfadli;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Hasan Saleh;Sembako;30000;70000;2
15;M. Yusuf;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Hasan Saleh;Sembako;18000;70000;2
16;M. Jamil;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman;Sembako;10000;18000;0
17;Agus Salim Adam;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman;Sembako;5000;9000;0
18;T. Sulaiman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman;Sembako;5000;17500;0
19;Hendrik Nasir M.;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman;Sembako;5000;24000;0
20;Munzir Abdullah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman III;Sembako;6000;15000;0
